UserId,Password,Name,PhoneNumber,EmailAddress,SearchTerms,Role
1,P@ssw0rd,Rosabelle,82981728,rvitler0@squidoo.com,"Darter, african",User
2,P@ssw0rd,Sax,87790504,sbelmont1@mediafire.com,"Puma, south american",User
3,P@ssw0rd,Den,97581197,dstegel2@ucoz.ru,Rhesus macaque,User
4,P@ssw0rd,Sigmund,95011782,sjennick3@economist.com,Black-tailed prairie dog,User
5,P@ssw0rd,Diarmid,89793746,dsavill4@is.gd,"Caiman, spectacled",User
6,P@ssw0rd,Bev,81741204,bbygraves5@si.edu,Scarlet macaw,User
7,P@ssw0rd,Nat,85130117,nalwin6@ucla.edu,"Deer, barasingha",User
8,P@ssw0rd,Ailis,93973344,aoshiel7@biglobe.ne.jp,"Dragon, western bearded",User
9,P@ssw0rd,Urbano,88867996,uloughran8@nifty.com,Urial,User
10,P@ssw0rd,Nikaniki,95670105,nnanson9@phoca.cz,Groundhog,User
11,P@ssw0rd,Oberon,94540491,ojeandona@imdb.com,"Wallaby, red-necked",User
12,P@ssw0rd,Abdul,89828853,ahasemanb@chicagotribune.com,"Deer, savannah",User
13,P@ssw0rd,Brennan,80463136,bbehrensc@devhub.com,Four-striped grass mouse,User
14,P@ssw0rd,Garold,86703077,galeshintsevd@imgur.com,Black swan,User
15,P@ssw0rd,Charline,97987962,cmcraveye@answers.com,Flying fox (unidentified),User
16,P@ssw0rd,Viviyan,82970248,vcoverlyf@alexa.com,Malay squirrel (unidentified),User
17,P@ssw0rd,Rowe,85243569,rpaskeg@accuweather.com,"Nighthawk, common",User
18,P@ssw0rd,Ruthi,96974646,rbottomleyh@cdc.gov,Asiatic jackal,User
19,P@ssw0rd,Warner,82882000,wfiveashi@qq.com,Springbok,User
20,P@ssw0rd,Weylin,97357300,wlunckj@ebay.com,"Fox, pampa gray",User
21,P@ssw0rd,Tester Testson,12345678,test@test.com,cat,User
22,P@ssw0rd,Admin1,82970248,admin1@petrus.com,,Admin
23,P@ssw0rd,Admin2,85243569,admin2@petrus.com,,Admin
24,P@ssw0rd,Admin3,96974646,admin3@petrus.com,,Admin
